# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
bai fen bi 	百分比	c=1 d=1 t=17054
bai fen zhi 	百分之	c=2 d=1 t=16565
bai fen zhi bai 	百分之百	c=1 d=1 t=10287
bai gu 	白骨	c=1 d=1 t=19515
bai jia 	百家	c=0 d=0.1 t=15003
bai mian shu sheng 	白面書生	c=1 d=1 t=19268
bai ming 	百名	c=0 d=0.1 t=3047
bai ming dan 	百名但	c=1 d=1 t=3048
bai nian 	百年	c=1 d=1 t=11784
bai si bu de qi jie 	百思不得其解	c=1 d=1 t=2200
bai wang 	敗亡	c=1 d=1 t=12900
bai xing 	百姓	c=1 d=1 t=12616
bai yu 	白玉	c=1 d=1 t=11766
bai yu 	百餘	c=0 d=0.1 t=11770
bai yu sui 	百餘歲	c=1 d=1 t=11771
bai zai 	擺在	c=1 d=1 t=20588
bai zhan ting 	拜占庭	c=1 d=1 t=13993
bai zhe 	掰着	c=1 d=1 t=14094
ban 	版	c=2 d=1 t=7560
ban 	辦	c=1 d=1 t=20314
ban ben 	版本	c=2 d=1 t=9502
ban bu 	頒佈	c=1 d=1 t=12500
ban diao zi 	半吊子	c=1 d=1 t=4295
ban fa 	辦法	c=3 d=1.09501 t=22536
ban gong 	辦公	c=1 d=1 t=6455
ban gong shi 	辦公室	c=2 d=1.00229 t=6335
ban gong shi yong 	辦公室用	c=1 d=1 t=5581
ban jia 	搬家	c=8 d=1 t=17008
ban kuai 	板塊	c=1 d=1 t=2593
ban liang 	半兩	c=1 d=1 t=11935
ban sui zhe 	伴隨着	c=2 d=1.26847 t=14078
bang 	榜	c=0 d=0.1 t=52
bang 	磅	c=2 d=1 t=17451
bang ding 	綁定	c=8 d=1.35195 t=17394
bang ding er ji 	綁定二級	c=1 d=1 t=3770
bang jia 	綁架	c=1 d=1 t=22623
bang ni 	幫你	c=1 d=1 t=7482
bang zhu 	幫助	c=2 d=1 t=12402
bang zhu zhong xin 	幫助中心	c=1 d=1 t=3518
bao 	包	c=5 d=1 t=5051
bao 	寶	c=1 d=1 t=177
bao 	薄	c=2 d=1 t=11948
bao bao 	寶寶	c=6 d=1 t=15628
bao ben 	保本	c=1 d=1 t=9501
bao chi 	保持	c=1 d=1 t=11488
bao chou 	報酬	c=1 d=1 t=11113
bao cun 	保存	c=1 d=1 t=1320
bao cuo 	報錯	c=3 d=1 t=8152
bao da 	暴打	c=1 d=1 t=58
bao dao 	報道	c=6 d=3.47557 t=21575
bao fa 	爆發	c=1 d=0.1035 t=13293
bao fa le 	爆發了	c=1 d=1 t=13294
bao guo 	包裹	c=1 d=1 t=2879
bao han 	包含	c=3 d=1.09984 t=3736
bao he 	寶盒	c=1 d=1 t=8433
bao hu 	保護	c=1 d=1 t=20030
bao jian 	保健	c=1 d=0.404221 t=21039
bao jian yin su 	保健因素	c=1 d=1 t=21040
bao kuo 	包括	c=9 d=1.06434 t=10850
bao liu 	保留	c=2 d=1 t=12104
bao ma 	寶馬	c=2 d=1.96079 t=21728
bao qing tian 	包青天	c=1 d=1 t=6773
bao tou huan yan 	豹頭環眼	c=3 d=1.22057 t=18931
bao wei 	包圍	c=1 d=1 t=5806
bao xian 	保險	c=6 d=1 t=16681
bao xian gong si 	保險公司	c=2 d=1.65051 t=10806
bao xian le 	保險了	c=1 d=1 t=3295
bao xian qi jian 	保險期間	c=1 d=1 t=5062
bao xiao 	報銷	c=1 d=1 t=6350
bao you 	保佑	c=3 d=1.07213 t=3696
bao you 	抱有	c=1 d=1 t=20182
bao zha 	爆炸	c=1 d=1 t=9309
bao zheng 	保證	c=1 d=1 t=5910
bao zhi 	報紙	c=1 d=1 t=2967
bao zhuang 	包裝	c=0 d=0.1 t=4661
bao zhuang qi lai 	包裝起來	c=1 d=1 t=4662
bao zi 	包子	c=1 d=1 t=2988
bei 	備	c=1 d=1 t=13852
bei 	北	c=1 d=1 t=13756
bei 	盃	c=2 d=1 t=16186
bei 	被	c=37 d=1.92852 t=21738
bei can 	悲慘	c=1 d=1 t=17274
bei cheng wei 	被稱爲	c=3 d=1.29054 t=11316
bei da 	北大	c=1 d=1 t=11853
bei dao 	被盜	c=4 d=1 t=10802
bei dong 	被動	c=1 d=1 t=10607
bei fang 	北方	c=1 d=1 t=13770
bei fen 	備份	c=12 d=2.99343 t=5032
bei hou 	背後	c=6 d=1.00157 t=14650
bei jing 	北京	c=2 d=1 t=17098
bei jing 	背景	c=5 d=1 t=20235
bei kui 	被虧	c=1 d=1 t=13218
bei ping 	北平	c=1 d=1.08511 t=98
bei ping wu zhan shi 	北平無戰士	c=3 d=1.99021 t=1854
bei qi 	北齊	c=3 d=2.79176 t=13810
bei qiang 	被搶	c=1 d=1 t=3866
bei shui yi zhan 	背水一戰	c=1 d=1 t=11918
bei wang lu 	備忘錄	c=1 d=1 t=17495
bei wei 	北魏	c=6 d=3.39319 t=13774
ben 	本	c=7 d=2.1542 t=21660
ben di 	本地	c=3 d=1.93239 t=8065
ben fang 	奔放	c=0 d=0.1 t=10755
ben fang 	本方	c=1 d=1 t=10757
ben guo 	本國	c=1 d=1 t=11489
ben ke 	本科	c=2 d=1 t=19993
ben lai 	本來	c=9 d=1.41066 t=18196
ben lai jiu you 	本來就有	c=1 d=1 t=5385
ben ren 	本人	c=5 d=1 t=19995
ben shen 	本身	c=6 d=1 t=21970
ben wen 	本文	c=14 d=1.91238 t=21595
ben wen zhong 	本文中	c=1 d=1 t=21557
ben yan jiu 	本研究	c=1 d=1 t=21551
ben zhang 	本章	c=5 d=1.18223 t=13891
ben zhi 	本質	c=3 d=1.00039 t=17365
ben zhi shang 	本質上	c=1 d=1 t=2328
ben zhi shi 	本質是	c=1 d=1 t=3927
ben zou 	奔走	c=1 d=1 t=15030
beng kui 	崩潰	c=2 d=1.47001 t=13370
bi 	壁	c=1 d=1 t=16293
bi 	幣	c=5 d=1.35501 t=7426
bi 	必	c=1 d=1 t=15465
bi 	比	c=24 d=1.0005 t=21612
bi 	畢	c=1 d=1 t=12433
bi 	筆	c=1 d=1 t=22579
bi 	閉	c=2 d=1.8825 t=18146
bi bei 	必備	c=1 d=0.109005 t=8291
bi bei cha jian 	必備插件	c=1 d=1 t=8292
bi bi jie shi 	比比皆是	c=1 d=1 t=14905
bi chu lai 	逼出來	c=1 d=1 t=684
bi ci 	彼此	c=1 d=1 t=9249
bi ji 	筆記	c=1 d=1 t=19138
bi ji ben 	筆記本	c=6 d=1 t=10529
bi ji ben de 	筆記本的	c=1 d=1 t=6576
bi ji sao hou 	筆記掃後	c=1 d=1 t=9877
bi jiao 	比較	c=16 d=1.06087 t=21310
bi jiao da 	比較大	c=1 d=1 t=16685
bi jiao di 	比較低	c=1 d=1 t=20427
bi jiao le 	比較了	c=3 d=1 t=21597
bi jiao luan le 	比較亂了	c=1 d=1 t=3859
bi jiao nan 	比較男	c=1 d=1 t=145
bi jiao shao 	比較少	c=1 d=1 t=9878
bi jiao shi he 	比較適合	c=1 d=1 t=209
bi jiao shu xi 	比較熟悉	c=1 d=1 t=14746
bi jiao xiao 	比較小	c=1 d=1 t=5621
bi jiao you 	比較有	c=1 d=1 t=18186
bi jiao you shi 	比較優勢	c=1 d=1 t=11620
bi jing 	畢竟	c=5 d=1.24414 t=18996
bi jing shi 	畢竟是	c=1 d=1 t=4026
bi li 	比例	c=1 d=1 t=4144
bi li shi 	比利時	c=2 d=1.99005 t=3958
bi lv 	比率	c=1 d=1 t=9795
bi mian 	避免	c=1 d=0.591644 t=21695
bi mian le 	避免了	c=2 d=1.99005 t=21698
bi qiu 	比丘	c=1 d=1 t=15880
bi ran 	必然	c=1 d=0.1 t=18898
bi ran cun zai 	必然存在	c=1 d=1 t=10317
bi ran guan xi 	必然關係	c=1 d=1 t=18899
bi ran shi 	必然是	c=2 d=1 t=9333
bi ru 	比如	c=43 d=1.01323 t=21902
bi ru shuo 	比如說	c=3 d=1 t=20776
bi shi 	鄙視	c=9 d=6.44125 t=18334
bi shi lian 	鄙視鏈	c=2 d=1.84789 t=18340
bi te 	比特	c=0 d=0.1 t=7003
bi te bi 	比特幣	c=12 d=1 t=12475
bi xu 	必須	c=5 d=1.05961 t=19879
bi xu yao 	比需要	c=1 d=1 t=15461
bi xue 	鼻血	c=1 d=1 t=2945
bi yan 	閉眼	c=0 d=0.1 t=6953
bi yao 	必要	c=5 d=1 t=16431
bi yao xing 	必要性	c=1 d=1 t=20243
bi ye 	畢業	c=3 d=1 t=11856
bian 	便	c=4 d=1.96247 t=13457
bian 	變	c=3 d=1.99005 t=4743
bian 	貶	c=1 d=1 t=14915
bian 	邊	c=1 d=1 t=14260
bian bei 	便被	c=1 d=1 t=11519
bian cheng 	編程	c=7 d=1.00014 t=18221
bian cheng 	變成	c=5 d=1.62641 t=16447
bian cheng le 	變成了	c=1 d=1 t=13553
bian de 	變得	c=1 d=1 t=22221
bian de you qu 	變得有趣	c=1 d=1 t=205
bian fu xia 	蝙蝠俠	c=5 d=4.87298 t=3122
bian geng 	變更	c=1 d=1 t=10221
bian hao 	編號	c=1 d=1 t=1354
bian hua 	變化	c=2 d=1 t=4755
bian ji 	編輯	c=5 d=1.93707 t=14721
bian ji 	邊際	c=2 d=1.10274 t=22348
bian ji qi 	編輯器	c=2 d=1 t=17709
bian ji shang 	邊際上	c=1 d=1 t=22337
bian jie wen ti 	邊界問題	c=1 d=1 t=4728
bian lang 	便狼	c=1 d=1 t=21847
bian li 	便利	c=2 d=1.99005 t=19711
bian li 	遍歷	c=1 d=0.103465 t=2080
bian li bu dao 	遍歷不到	c=1 d=1 t=2081
bian liang 	變量	c=22 d=4.12983 t=22101
bian liang ming 	變量名	c=2 d=1 t=7469
bian ma 	編碼	c=3 d=1 t=7735
bian nian 	編年	c=1 d=1 t=10112
bian xie 	編寫	c=1 d=1 t=8356
bian yi 	便宜	c=0 d=0.1 t=997
bian yi 	編譯	c=7 d=2.72446 t=7820
bian yi yuan li 	便宜原理	c=1 d=1 t=998
bian yu 	便於	c=0 d=0.1 t=16043
bian zhe 	編者	c=1 d=1 t=3426
bian zhi 	貶值	c=6 d=3.60567 t=11497
biao 	標	c=1 d=1 t=4819
biao 	表	c=1 d=1 t=16084
biao da 	表達	c=2 d=1 t=10870
biao da shi 	表達式	c=1 d=0.1 t=4316
biao dan 	表單	c=1 d=1 t=20040
biao ge 	表格	c=1 d=1 t=16315
biao ji 	標記	c=1 d=1 t=8975
biao ming 	表明	c=6 d=1.43672 t=22430
biao shang 	標上	c=1 d=1 t=8967
biao shi 	表示	c=5 d=1.00552 t=7607
biao xian 	表現	c=2 d=1.00025 t=22025
biao xian chu se 	表現出色	c=1 d=1 t=19739
biao zhi 	標誌	c=1 d=0.392293 t=1207
biao zhi wei 	標誌位	c=1 d=1 t=1208
biao zhi xing 	標誌性	c=1 d=1 t=17063
biao zhun 	標準	c=2 d=1 t=14249
bie 	別	c=2 d=1 t=5992
bie de 	別的	c=3 d=1.89583 t=5413
bie niu 	彆扭	c=1 d=1 t=17536
bie ren 	別人	c=1 d=1 t=6133
bie shuo 	別說	c=2 d=1.01426 t=14964
bie zhuan 	別傳	c=1 d=1 t=22705
bin xi fa ni ya 	賓夕法尼亞	c=2 d=1.92312 t=8769
bing 	並	c=7 d=1.01553 t=21582
bing bu 	並不	c=1 d=0.1 t=20280
bing bu cun zai 	並不存在	c=1 d=1 t=15611
bing bu hui 	並不會	c=2 d=1.8311 t=9619
bing bu shao 	並不少	c=1 d=1 t=2701
bing bu shu yu 	並不屬於	c=1 d=1 t=7032
bing bu ying gai 	並不應該	c=1 d=1 t=20281
bing bu zhi dao 	並不知道	c=1 d=1 t=3133
bing de 	病得	c=0 d=0.1 t=20747
bing de chu le 	病得除了	c=1 d=1 t=20748
bing du 	病毒	c=1 d=1 t=17485
bing fei 	並非	c=1 d=0.1 t=20340
bing fei shi 	並非是	c=1 d=1 t=14141
bing feng 	冰封	c=1 d=1 t=8459
bing gan 	餅乾	c=2 d=1.60653 t=2985
bing mei you 	並沒有	c=4 d=1 t=21629
bing mei you shuo 	並沒有說	c=1 d=1 t=18644
bing qi 	兵器	c=3 d=0.131288 t=19660
bing qie 	並且	c=19 d=1.01611 t=22457
bing tan 	冰炭	c=1 d=1 t=11794
bing tuan 	兵團	c=2 d=1.99005 t=393
bing wei 	並未	c=1 d=1 t=10863
bing wu 	並無	c=0 d=0.1 t=9784
bing wu suo wei 	並無所謂	c=1 d=1 t=9785
bo 	伯	c=3 d=1 t=17074
bo 	波	c=1 d=1 t=12813
bo duo 	剝奪	c=1 d=1 t=22541
bo en si tan 	伯恩斯坦	c=1 d=1 t=327
bo ke 	博客	c=12 d=1.96079 t=17019
bo ke da ba 	博客大巴	c=2 d=1.38674 t=3538
bo la tu 	柏拉圖	c=1 d=1.0036 t=13424
bo la tu shi 	柏拉圖式	c=1 d=1 t=12760
bo lan 	波蘭	c=2 d=1 t=4004
bo lan zhuang kuo 	波瀾壯闊	c=0 d=0.1 t=12819
bo lan zhuang kuo de 	波瀾壯闊的	c=1 d=1 t=12820
bo le 	伯樂	c=6 d=1.906 t=17423
bo le tou tiao 	伯樂頭條	c=1 d=1 t=17259
bo mo 	薄膜	c=1 d=1 t=6468
bo nan ke 	伯南克	c=1 d=1 t=9517
bo ruo 	薄弱	c=1 d=1 t=9475
bo shi 	博士	c=3 d=1.44059 t=8737
bo shi hou 	博士後	c=2 d=1.92774 t=12329
bo shi sheng 	博士生	c=1 d=1 t=8729
bo wu guan 	博物館	c=1 d=1 t=400
bo yi 	博弈	c=10 d=1.04758 t=13614
bo yi lun 	博弈論	c=4 d=1.29307 t=13444
bo yi lun de 	博弈論的	c=1 d=1 t=12702
bo yi shu 	博弈樹	c=1 d=1 t=468
bo yi zhong 	博弈中	c=1 d=1 t=11214
bo yin 	播音	c=1 d=1 t=11822
bo yin yuan 	播音員	c=3 d=2.96062 t=11828
bo zhong 	播種	c=2 d=1.99501 t=17076
bo zhou 	亳州	c=2 d=1.97531 t=19543
bu 	不	c=42 d=1.13279 t=21727
bu 	步	c=1 d=1 t=19163
bu 	部	c=3 d=1 t=18552
bu bi 	不比	c=1 d=1 t=7601
bu bian 	不變	c=3 d=1 t=21371
bu cha 	不差	c=0 d=0.1 t=18950
bu chang 	步長	c=7 d=1.1891 t=2104
bu cheng 	不成	c=1 d=1 t=12837
bu cheng cai 	不成材	c=1 d=1 t=6009
bu cheng gong 	不成功	c=1 d=1 t=3804
bu cong 	不從	c=1 d=1 t=20249
bu cun zai 	不存在	c=2 d=0.1 t=15610
bu cuo 	不錯	c=15 d=1.9802 t=22409
bu da 	不大	c=2 d=1.00487 t=8758
bu dai biao 	不代表	c=1 d=1 t=6848
bu dan 	不但	c=5 d=1.3027 t=20858
bu dan shi 	不但是	c=1 d=1 t=15459
bu dao 	不到	c=0 d=0.1 t=18100
bu dao de 	不道德	c=4 d=1.02065 t=22674
bu ding 	不定	c=1 d=1 t=18301
bu ding 	補丁	c=0 d=0.1 t=18299
bu dong 	不懂	c=1 d=0.1 t=18854
bu dong le ba 	不懂了吧	c=1 d=1 t=18855
bu duan 	不斷	c=2 d=1 t=13961
bu dui 	不對	c=3 d=1.32034 t=5881
bu dui chen 	不對稱	c=2 d=0.936866 t=10815
bu dui cheng 	不對稱	c=1 d=0.671209 t=10761
bu duo 	不多	c=2 d=1 t=15304
bu fa yin 	不發音	c=1 d=1 t=17460
bu fang bian 	不方便	c=2 d=1.01412 t=2462
bu fang wen 	不訪問	c=1 d=1 t=17909
bu fen 	部分	c=6 d=0.100062 t=20256
bu fen qi ye 	部分企業	c=1 d=1 t=20257
bu fu ze ren 	不負責任	c=1 d=1 t=22607
bu gai 	不該	c=0 d=0.1 t=5531
bu gai yong 	不該用	c=1 d=1 t=5532
bu gan 	不敢	c=1 d=1 t=7244
bu gan le 	不敢了	c=1 d=1 t=4107
bu gei 	補給	c=0 d=0.1 t=3744
bu gei wo 	補給我	c=1 d=1 t=3745
bu geng xin 	不更新	c=1 d=1 t=17134
bu gong ping 	不公平	c=2 d=1 t=20288
bu gou 	不夠	c=1 d=0.1 t=12964
bu gou cheng 	不構成	c=1 d=1 t=8606
bu gui 	不貴	c=1 d=1 t=7798
bu gui ze 	不規則	c=1 d=1 t=6192
bu guo 	不過	c=27 d=1 t=22360
bu hao 	不好	c=2 d=1.00369 t=18124
bu hao yi si 	不好意思	c=1 d=1 t=3147
bu he 	不合	c=1 d=1 t=7442
bu huang duo rang 	不遑多讓	c=1 d=1 t=15267
bu hui 	不會	c=11 d=1.00167 t=22352
bu hui qu 	不會去	c=1 d=1 t=6172
bu hui shuo hua 	不會說話	c=1 d=1 t=14854
bu hui zuo 	不會做	c=1 d=1 t=12101
bu ji 	不及	c=1 d=1 t=14597
bu ji ji 	不積極	c=1 d=1 t=20328
bu jin jin 	不僅僅	c=1 d=1 t=20682
bu jiu 	不久	c=2 d=1 t=13292
bu jiu shi 	不就是	c=1 d=1 t=14184
bu jue de 	不覺得	c=1 d=1 t=12052
bu kan 	不看	c=1 d=1 t=9147
bu ke 	不可	c=2 d=0.1 t=19000
bu ke hu lve 	不可忽略	c=1 d=1 t=19001
bu ke neng 	不可能	c=5 d=1 t=13695
bu ke qi 	不客氣	c=1 d=1 t=2892
bu le 	不了	c=0 d=0.100006 t=4583
bu li 	不利	c=1 d=1 t=10676
bu li jie 	不理解	c=4 d=1.98673 t=17616
bu liao 	不了	c=0 d=0.1 t=18396
bu man 	不滿	c=0 d=0.1 t=4034
bu ming 	不明	c=0 d=0.1 t=1522
bu ming bai 	不明白	c=1 d=1 t=9172
bu ming zhi 	不明智	c=1 d=1 t=13478
bu nan 	不難	c=1 d=0.100101 t=5263
bu neng 	不能	c=11 d=1.04557 t=18733
bu neng chi 	不能吃	c=1 d=1 t=4162
bu neng gou 	不能夠	c=2 d=1.8311 t=17794
bu neng yong 	不能用	c=0 d=0.1 t=4403
bu qi 	不起	c=0 d=0.1 t=6640
bu qi 	補齊	c=1 d=1 t=9102
bu qi dong 	不啓動	c=1 d=1 t=21723
bu quan 	補全	c=1 d=1 t=9105
bu ran 	不然	c=2 d=0.1 t=10484
bu re wu 	不熱舞	c=1 d=1 t=13924
bu rong yi 	不容易	c=0 d=0.1 t=12069
bu ru 	不如	c=3 d=2.73221 t=13538
bu shang 	補上	c=1 d=1 t=1471
bu shao 	不少	c=2 d=1.02055 t=8006
bu shao ren 	不少人	c=0 d=0.1 t=5312
bu shi 	不是	c=40 d=1 t=22331
bu shi ge 	不是個	c=1 d=1 t=17278
bu shi yi ge 	不是一個	c=0 d=0.1 t=4527
bu shi yi ge ci 	不是一個詞	c=1 d=1 t=4528
bu shu 	部署	c=1 d=0.947894 t=3704
bu shu le 	部署了	c=1 d=1 t=3705
bu shuang 	不爽	c=0 d=0.1 t=2430
bu shuang le 	不爽了	c=1 d=1 t=18328
bu shuo 	不說	c=1 d=1 t=5943
bu shuo hua 	不說話	c=1 d=1 t=5999
bu suan 	不算	c=0 d=0.1 t=4547
bu suan chang yong 	不算常用	c=1 d=1 t=4548
bu tai 	不太	c=1 d=0.100006 t=7659
bu tai dui 	不太對	c=1 d=1 t=5519
bu tai hao 	不太好	c=1 d=1 t=2233
bu tai hui 	不太會	c=0 d=0.1 t=18353
bu tai hui you 	不太會有	c=1 d=1 t=18354
bu tai qing chu 	不太清楚	c=1 d=1 t=5368
bu tai shu xi 	不太熟悉	c=1 d=1 t=7660
bu tai zhu liu 	不太主流	c=1 d=1 t=5575
bu ti gong 	不提供	c=2 d=1 t=17215
bu ting 	不停	c=1 d=1 t=4382
bu ting hao 	不挺好	c=2 d=1 t=12349
bu ting ke 	不停客	c=1 d=1 t=125
bu tong 	不同	c=31 d=1.53178 t=22505
bu tong yi 	不同意	c=17 d=4.9689 t=22692
bu tong yi jian 	不同意見	c=1 d=1 t=13263
bu xi 	不惜	c=1 d=1 t=4710
bu xi huan 	不喜歡	c=1 d=1 t=8323
bu xi wang 	不希望	c=2 d=1 t=19952
bu xian yu 	不限於	c=1 d=1 t=10858
bu xiang 	不想	c=0 d=0.1 t=6631
bu xie 	不屑	c=0 d=0.1 t=16387
bu xie cheng qu 	不屑城區	c=1 d=1 t=16388
bu xie tiao 	不協調	c=1 d=1 t=5537
bu xin 	不信	c=1 d=0.654327 t=13748
bu xing 	不幸	c=3 d=1.00003 t=14497
bu xu fei 	不續費	c=1 d=1 t=4951
bu xu yao 	不需要	c=4 d=1.00125 t=9555
bu yao 	不要	c=1 d=1 t=8727
bu yi zhi 	不一致	c=0 d=0.100061 t=11505
bu yi zhi xing 	不一致性	c=3 d=1.00001 t=13830
bu yong 	不用	c=10 d=1.00031 t=18105
bu yong dan xin 	不用擔心	c=1 d=1 t=5567
bu yong le 	不用了	c=1 d=1 t=276
bu yong shou le 	不用受了	c=1 d=1 t=8192
bu yuan yi 	不願意	c=3 d=1 t=20555
bu za di 	不匝地	c=1 d=1 t=5248
bu zai 	不再	c=3 d=1 t=20689
bu zai 	不在	c=1 d=0.1 t=4581
bu zan cheng 	不贊成	c=1 d=1 t=17311
bu zhen 	不真	c=1 d=1 t=14863
bu zhi 	不止	c=0 d=0.1 t=5186
bu zhi chi 	不支持	c=2 d=1 t=17102
bu zhi dao 	不知道	c=7 d=1.90937 t=14993
bu zhi de 	不值得	c=3 d=1 t=20095
bu zhi guan 	不直觀	c=1 d=1 t=12013
bu zhi yu 	不至於	c=1 d=1 t=9913
bu zhou 	步驟	c=1 d=0.1 t=16364
bu zhu 	補助	c=1 d=1 t=18326
bu zhuan ye 	不專業	c=1 d=1 t=16791
bu zhuo 	捕捉	c=1 d=1 t=5442
bu zu 	不足	c=2 d=1 t=20140
bu zuo 	不做	c=2 d=1 t=16562
cai 	才	c=4 d=1 t=19479
cai 	猜	c=2 d=1 t=18103
cai 	蔡	c=1 d=1 t=17264
cai ce 	猜測	c=1 d=1 t=7057
cai chan 	財產	c=2 d=1 t=22542
cai de 	猜的	c=1 d=1 t=12245
cai fu 	財富	c=1 d=1 t=12444
cai gou 	採購	c=3 d=1.96561 t=9243
cai hui 	纔會	c=1 d=0.1 t=11706
cai hui bei 	纔會被	c=1 d=1 t=11707
cai ji 	猜忌	c=2 d=1.01168 t=12682
cai jing 	財經	c=1 d=1 t=4237
cai neng 	才能	c=1 d=1 t=835
cai neng gou 	才能夠	c=2 d=1.97045 t=20660
cai neng guo 	才能過	c=1 d=1 t=3436
cai niao 	菜鳥	c=1 d=1 t=6125
cai qin 	蔡琴	c=13 d=10.227 t=4340
cai qu 	採取	c=1 d=1 t=10795
cai shi 	纔是	c=2 d=1 t=18384
cai wu 	財務	c=1 d=1 t=22061
cai xiang 	猜想	c=1 d=1 t=3636
cai ying wen 	蔡英文	c=1 d=1 t=3129
cai yong 	採用	c=1 d=1 t=18824
cai zheng 	財政	c=3 d=1.04941 t=13355
cai zi 	才子	c=1 d=1 t=13259
can kao 	參考	c=1 d=1 t=21195
can lan 	燦爛	c=2 d=1 t=19098
can shu 	參數	c=3 d=1.02448 t=18420
can yin ye 	餐飲業	c=1 d=1 t=21939
can yu 	參與	c=4 d=1 t=19786
can yu zhe 	參與者	c=20 d=1 t=15587
cang 	艙	c=1 d=1 t=11378
cang 	藏	c=1 d=1 t=11805
cao 	曹	c=1 d=1 t=11799
cao cao 	曹操	c=6 d=3.99846 t=19566
cao gao 	草稿	c=1 d=1 t=1846
cao wei 	曹魏	c=2 d=1.33622 t=19587
cao zhi 	曹植	c=1 d=1 t=5960
cao zong 	操縱	c=1 d=1 t=8300
cao zuo 	操作	c=2 d=0.1 t=17776
ce 	測	c=1 d=1 t=3227
ce lve 	策略	c=32 d=1.89583 t=15606
ce shi 	測試	c=1 d=1 t=5907
ceng 	層	c=1 d=1 t=8471
ceng 	曾	c=1 d=1 t=8470
ceng jing 	曾經	c=4 d=1 t=18338
cha 	察	c=2 d=1.14661 t=13878
cha 	差	c=2 d=1 t=20083
cha 	查	c=2 d=1 t=5820
cha 	茬	c=1 d=1 t=15899
cha 	茶	c=1 d=1 t=6184
cha bu dao 	查不到	c=1 d=1 t=2649
cha bu duo 	差不多	c=5 d=1 t=17787
